workload,shape,current_tflops,this_pr_tflops,fa3_tflops,current_pct_fa3,this_pr_pct_fa3,delta_pp
llama8b-1k,B=1 S=1024 H=32 D=128 fp16,205.3,307.3,378.5,54.2,81.4,27.2
llama8b-4k,B=1 S=4096 H=32 D=128 fp16,218.7,291.4,436.5,50.1,66.7,16.6
llama8b-8k,B=1 S=8192 H=32 D=128 fp16,230.1,273.6,360.9,63.8,75.8,12.0
llama8b-32k,B=1 S=32768 H=32 D=128 fp16,237.4,257.3,332.6,71.4,77.4,6.0
llama8b-128k,B=1 S=131072 H=32 D=128 fp16,227.2,256.7,325.6,69.8,78.9,9.1
llama70b-4k,B=1 S=4096 H=64 D=128 fp16,261.5,302.9,369.6,70.7,81.6,10.9
llama405b-4k,B=1 S=4096 H=128 D=128 fp16,278.5,298.1,372.2,74.8,80.1,5.3
train-8b-4k,B=2 S=4096 H=32 D=128 bf16,276.5,304.4,394.1,70.2,77.4,7.2
train-8b-8k,B=1 S=8192 H=32 D=128 bf16,291.7,320.9,413.3,70.6,82.5,11.9
train-70b-4k,B=1 S=4096 H=64 D=128 bf16,293.9,320.3,405.4,72.5,81.0,8.5
train-405b-4k,B=1 S=4096 H=128 D=128 bf16,310.3,323.7,406.1,76.4,79.7,3.3
sft-8b,B=2 S=2048 H=32 D=128 bf16,251.6,285.6,526.8,47.8,53.5,5.7
